"","gross","duration","budget","imdb_score","dominantGenre","director_facebook_likes","cast_total_facebook_likes","facenumber_in_poster","movie_facebook_likes","actor_fb_likes"
"59",137850096,96,2e+08,6.8,"Drama",0,48878,0,0,18000
"60",47375327,127,1.76e+08,5.4,"Sci-Fi",0,47334,1,44000,17000
"61",124051759,110,1.8e+08,6.6,"Drama",282,21175,2,29000,11000
"62",291709845,150,1.8e+08,6.9,"Family",80,1317,5,0,1000
"63",154985087,144,1.78e+08,7.3,"Adventure",0,49684,6,54000,34000
"64",533316061,152,1.85e+08,9,"Crime",22000,57802,0,37000,23000
"65",292979556,96,1.75e+08,8.3,"Family",0,2635,1,27000,1000
"66",198332128,94,1.75e+08,6.5,"Comedy",11,2579,2,0,1000
"67",318298180,126,1.4e+08,7.9,"Action",4000,39252,3,10000,21000
"68",73820094,126,1.7e+08,7.5,"Adventure",17000,36017,0,42000,17000
"69",102176165,112,1.45e+08,5.2,"Horror",357,9131,2,0,5000
"70",161087183,123,1.75e+08,6.9,"Sci-Fi",452,11287,8,80000,10000
"71",100289690,96,1.75e+08,5.4,"Family",293,108016,0,2000,87000
"72",100189501,113,1.78e+08,7.9,"Sci-Fi",218,12652,1,77000,10000
"73",150167630,118,1.75e+08,5.8,"Thriller",208,26683,4,0,23000
"74",356454367,95,1.75e+08,8.3,"Animation",0,2944,1,118000,1000
"75",362645141,106,1.75e+08,7.8,"Family",4000,32921,0,65000,19000
"76",312057433,124,2e+08,7,"Adventure",4000,48638,4,18000,21000
"77",155111815,132,1.7e+08,6.1,"Drama",274,72881,0,53000,26000
"78",241407328,97,1.8e+08,7,"Adventure",171,15516,2,89000,11000
"79",208543795,130,1.7e+08,7.6,"Thriller",198,14363,0,45000,10000
"80",38297305,128,1.75e+08,6.3,"Fantasy",47,20965,2,35000,18000
"81",259746958,136,1.7e+08,7.8,"Adventure",94,36188,1,55000,19000
"82",238371987,93,1.65e+08,6.4,"Fantasy",31,4628,2,0,4000
"83",93417865,130,1.9e+08,6.5,"Mystery",663,5046,2,37000,2000
"84",222487711,102,1.65e+08,7.9,"Animation",38,2963,0,41000,756
"85",189412677,101,1.65e+08,7.8,"Comedy",66,4451,1,40000,975
"86",665426,100,1.65e+08,6.6,"Animation",0,16264,0,10000,15000
"87",102315545,120,1.65e+08,5.5,"Action",776,3233,0,67000,890
"88",217387997,98,1.65e+08,8.2,"Adventure",255,20453,0,33000,18000
"89",150350192,109,2e+08,6.4,"Sci-Fi",84,1769,0,0,648
"90",333130696,121,1.7e+08,8.1,"Sci-Fi",571,32438,3,96000,14000
"91",187991439,169,1.65e+08,8.6,"Adventure",22000,31488,1,349000,11000
"92",292568851,148,1.6e+08,8.8,"Thriller",22000,81115,0,175000,29000
"93",303001229,182,1.8e+08,7.9,"Adventure",0,9152,1.45812090313183,166000,5000
"94",144512310,106,3.8e+07,6.7,"Crime",357,45327,2,14000,23000
"95",127490802,166,1.5e+08,7.8,"Romance",21000,13333,2,23000,11000
"96",146405371,132,1.6e+08,7.8,"Sci-Fi",905,50983,3,54000,34000
"97",281666058,137,1.6e+08,6.6,"Adventure",508,81385,1,38000,34000
"98",63143812,109,1.5e+08,6.1,"Fantasy",226,13388,0,11000,12000
"99",60655503,98,1.6e+08,5.6,"Adventure",249,92456,0,0,87000
"100",76846624,113,1.7e+08,6.4,"Fantasy",33,80806,1,30000,40000
"101",320706665,93,1.6e+08,6.1,"Comedy",50,4705,2,0,3000
"102",46978995,123,1.6e+08,7.3,"Adventure",0,5505,0,89000,3000
"103",89732035,126,1.55e+08,6.6,"Action",230,38873,2,82000,24000
"104",104383624,113,1.55e+08,6.3,"Fantasy",150,764,4,11000,531
"105",198539855,184,1.4e+08,6.1,"War",0,5401,0,0,3000
"106",318759914,144,1.5e+08,7.1,"Adventure",0,2333,0,8000,662
"107",34293771,206,1.55e+08,5.5,"Drama",0,24598,3,0,12000
"108",292000866,138,1.5e+08,7.5,"Family",282,33433,3,0,21000
"109",289994397,157,1.5e+08,7.6,"Mystery",179,53413,1,0,21000
"110",227946274,102,1.5e+08,6.4,"Action",532,21584,0,0,10000
"111",256386216,104,1.5e+08,7.2,"Horror",508,13076,0,11000,10000
"112",206456431,115,1.5e+08,6.7,"Fantasy",13000,57844,3,0,40000
"113",206435493,111,1.5e+08,8,"Action",663,4764,0,10000,1000
"114",205343774,128,1.5e+08,8.3,"Adventure",22000,59558,0,15000,23000
"115",179982968,89,1.5e+08,6.7,"Family",35,3285,0,0,1000
"116",177243721,105,1.5e+08,5.9,"Comedy",189,54039,2,2000,49000
"117",179883016,119,1.5e+08,6.7,"Adventure",151,40054,0,0,20000
"118",139259759,129,1.5e+08,6.7,"Sci-Fi",0,1062,0,0,309
"119",400736600,102,1.5e+08,7.6,"Family",69,2582,0,58000,1000
"120",281492479,138,1.5e+08,7.2,"Sci-Fi",0,534,0,0,234
"121",206360018,112,1.7e+08,7.1,"Fantasy",230,59803,3,63000,26000
"122",153629485,120,1.5e+08,8.1,"Drama",750,40025,0,191000,27000
"123",133375846,146,1.5e+08,6.7,"Mystery",2000,16948,2,0,15000
"124",181015141,115,1.5e+08,7,"Fantasy",0,60059,1,63000,26000
"125",114053579,96,1.5e+08,6.9,"Animation",59,20007,0,0,17000
"126",119420252,88,1.5e+08,5.1,"Comedy",12,2217,0,0,730
"127",83640426,99,1.5e+08,5.8,"Action",473,16184,0,19000,14000
"128",79711678,113,1e+08,6.2,"Comedy",13000,80849,7,82000,40000
"129",195000874,131,1.5e+08,7.4,"Action",188,21840,0,47000,10000
"130",61937495,119,1.5e+08,5.8,"Fantasy",394,13071,0,0,12000
"131",126597121,91,1.5e+08,6.2,"Comedy",58,6576,0,0,2000
"132",165230261,90,1.5e+08,7.3,"Comedy",90,21015,0,20000,11000
"133",131564731,103,1.5e+08,4.2,"Family",0,2857,0,18000,1000
"134",133382309,124,1.5e+08,6.9,"Adventure",14000,34817,0,0,22000
"135",73103784,131,1.5e+08,6.4,"Drama",776,18204,2,33000,17000
"136",21379315,88,1.5e+08,5.4,"Animation",25,2652,0,0,921
"137",64459316,85,1.49e+08,6.7,"Family",42,35161,0,0,20000
"138",34964818,111,1.5e+08,5.8,"Fantasy",456,21393,4,24000,20000
"139",111505642,92,1.45e+08,6.9,"Comedy",50,5810,2,11000,3000
"140",133228348,196,1.75e+08,7.2,"Adventure",249,17944,2,0,11000
"141",216366733,93,1.45e+08,6.9,"Animation",35,2444,0,17000,851
"142",160201106,133,1.42e+08,6.1,"Action",93,2538,0,0,769
"143",118099659,116,1.44e+08,5.5,"Sci-Fi",176,2097,4,62000,783
"144",190418803,88,1.4e+08,6.1,"Fantasy",188,14823,2,2000,10000
"145",82161969,115,1.5e+08,6.3,"Animation",0,31523,1,3000,18000
"146",143523463,95,1.45e+08,7.2,"Comedy",5,36095,0,24000,24000
"147",209364921,133,1.45e+08,7.4,"Thriller",663,21768,3,35000,10000
"148",103400692,97,1.45e+08,7.3,"Adventure",52,20645,0,25000,20000
"149",110332737,90,1e+08,6.1,"Comedy",23,1997,1,2000,957
"150",111110575,154,1.4e+08,7.7,"Drama",380,11945,1,0,10000
"151",65007045,150,1.4e+08,6.1,"Action",0,26490,0,51000,23000
"152",257704099,127,1.5e+08,8,"Action",14000,39284,0,19000,26000
"153",403706375,121,1.39e+08,7.3,"Romance",0,40484,0,5000,24000
"154",176997107,102,1.45e+08,7.9,"Adventure",255,23378,5,46000,18000
"155",31141074,126,1.4e+08,5.5,"Fantasy",295,19769,4,24000,18000
"156",31704416,121,1.35e+08,5,"Thriller",357,2705,0,0,820
"157",107503316,215,1.3e+08,7.7,"Mystery",0,2530,1,18000,986
"158",132122995,138,1.37e+08,5.7,"Sci-Fi",0,1814,0,0,820
"159",122512052,122,1.3e+08,5.8,"Adventure",209,31958,6,42000,17000
"160",68642452,124,1.3e+08,6,"Adventure",42,13073,3,0,11000
"161",32131830,106,1.37e+08,6.4,"Adventure",6,15015,1,0,12000
"162",176636816,124,1.4e+08,6.9,"Sci-Fi",394,19761,0,46000,11000
"163",93926386,138,1.5e+08,7.4,"Adventure",608,1205,1,0,613
"164",292298923,115,1.2e+08,5.5,"Fantasy",386,59177,3,65000,21000
"165",63992328,100,1.35e+08,5.9,"Family",750,62644,0,0,49000
"166",134518390,135,1.5e+08,6.8,"Sci-Fi",255,5811,0,0,3000
"167",52792307,117,1.4e+08,6.8,"Adventure",14000,1950,0,27000,535
"168",183635922,156,1.35e+08,8.1,"Thriller",0,57108,0,190000,29000
"169",83024900,96,1.35e+08,6.5,"Sport",13,17416,0,13000,16000
"170",123207194,107,1.35e+08,7.2,"Animation",563,43291,0,26000,40000
"171",83348920,92,1.32e+08,6.7,"Adventure",35,19963,0,11000,19000
"172",227137090,115,1.1e+08,8.1,"Thriller",521,17369,0,0,13000
"173",215395021,92,1.3e+08,7.6,"Comedy",54,12754,0,6000,11000
"174",180191634,117,1.3e+08,7.4,"Comedy",235,5730,6,61000,2000
"175",424645577,146,1.3e+08,7.6,"Thriller",508,49355,1,82000,34000
"176",177343675,94,1.35e+08,6.7,"Comedy",12,17883,0,26000,17000
"177",234277056,116,1.32e+08,6.5,"Adventure",14000,12758,0,0,10000
"178",138396624,147,1.3e+08,6.6,"Comedy",0,12954,1,0,10000
"179",149234747,90,1.3e+08,6.7,"Animation",50,5046,0,16000,4000
"180",118311368,101,1.1e+08,6.4,"Mystery",176,12406,1,23000,11000
"181",101160529,138,1.25e+08,5.8,"Adventure",0,32355,2,71000,12000
"182",77564037,107,1.35e+08,7.4,"Action",14000,4631,1,44000,2000
"183",249358727,142,1.3e+08,7.8,"Adventure",0,33284,3,11000,11000
"184",49551662,165,1.3e+08,6.6,"War",1000,921,0,0,309
"185",60522097,100,1.3e+08,4.9,"Sci-Fi",0,14168,0,37000,10000
"186",137748063,82,127500000,6.5,"Thriller",0,2945,1,0,1000
"187",113733726,98,1.27e+08,6.2,"Comedy",189,53587,7,11000,49000
"188",148337537,95,1.3e+08,7.3,"Action",96,46120,3,13000,24000
"189",317557891,159,1.25e+08,7.5,"Adventure",0,13191,4,16000,11000
"190",33592415,96,1.3e+08,5.6,"Thriller",124,31549,2,20000,16000
"191",305388685,143,1.4e+08,8.1,"Fantasy",563,48184,3,10000,40000
"192",337103873,123,1.25e+08,6.7,"Adventure",508,81385,1,52000,34000
"193",217536138,174,1.25e+08,6.6,"Mystery",2000,16008,2,0,15000
"194",131536019,101,1.03e+08,6.4,"Animation",107,1031,0,0,688
"195",214948780,134,1.1e+08,7.5,"Fantasy",0,20952,4,0,20000
"196",209805005,132,1.25e+08,7.3,"Action",681,55345,3,54000,23000
"197",186830669,129,1.25e+08,7.5,"Action",0,22403,2,39000,21000
"198",163192114,106,1.25e+08,5.8,"Fantasy",255,18003,0,15000,14000
"199",113165635,135,1.25e+08,6.7,"Thriller",209,12175,0,31000,10000
"200",260031035,110,1.23e+08,6,"Family",2000,4146,0,0,1000
"201",186739919,124,1.25e+08,6.4,"Action",776,20553,0,19000,15000
"202",215397307,123,1.25e+08,6.1,"Drama",610,11930,0,0,10000
"203",182618434,130,1.4e+08,6.4,"Adventure",249,2684,0,0,784
"204",131920333,92,1.3e+08,5.6,"Adventure",167,15302,3,0,11000
"205",124976634,127,1.2e+08,8,"Adventure",0,2121,0,122000,774
"206",115802596,123,1.1e+08,5.2,"Action",160,14017,1,0,12000
"207",108521835,123,1.2e+08,7.1,"Action",521,13752,0,31000,13000
"208",100685880,107,1.2e+08,4.8,"Adventure",368,4046,0,0,2000
"209",126464904,124,1.3e+08,7,"Mystery",0,24098,0,97000,13000
"210",64736114,77,1.2e+08,5.4,"Family",50,2682,0,459,886
"211",93050117,109,1.15e+08,6.6,"Sci-Fi",662,17689,0,61000,13000
"212",57637485,134,1.05e+08,6.7,"Adventure",123,17159,0,0,14000
"213",58607007,117,1e+08,6.2,"Sci-Fi",294,14161,0,60000,10000
"214",43929341,135,1.2e+08,6.1,"Family",0,902,0,0,690
"215",30212620,121,1.2e+08,5.3,"Romance",274,993,4,0,273
"216",76418654,117,1.17e+08,6.3,"Comedy",446,12731,0,11000,10000
"217",89021735,124,1.2e+08,7,"Mystery",364,22004,0,71000,11000
"218",380262555,140,1.13e+08,7.6,"Sci-Fi",0,44042,4,10000,20000
"219",310675583,142,1.15e+08,6.7,"Sci-Fi",0,42990,3,0,20000
"220",289907418,92,1.15e+08,8.1,"Fantasy",0,15013,0,0,12000
"221",132550960,138,1.2e+08,6.7,"Sci-Fi",446,23755,1,68000,20000
"222",187165546,98,1.35e+08,7.3,"Comedy",16,43286,3,28000,16000
"223",40911830,153,1.15e+08,6,"Action",610,15046,0,0,12000
"224",47952020,120,1.15e+08,6.1,"Family",19,46719,2,16000,26000
"225",190871240,101,1.25e+08,5.9,"Sci-Fi",473,2690,0,62000,833
"226",274084951,91,1e+08,7.8,"Sci-Fi",0,87,0,147000,39
"227",81638674,112,1.35e+08,6.3,"Sci-Fi",13,8306,1.45812090313183,12000,5000
"228",56114221,100,1.2e+08,4.3,"Sci-Fi",128,1261,3,41000,596
"229",250863268,108,1.1e+08,6.4,"Comedy",189,55486,2,3000,49000
"230",155181732,114,1.1e+08,6.1,"Action",62,16718,0,52000,12000
"231",113330342,142,1.1e+08,7.1,"Action",776,19454,1,4000,13000
"232",125531634,125,1.1e+08,6.4,"Crime",0,19359,0,0,11000
"233",186336103,126,1.2e+08,6.5,"Crime",218,22722,2,0,11000
"234",129995817,119,1.1e+08,6.3,"Adventure",124,22622,0,27000,14000
"235",102608827,170,1.1e+08,7.5,"Biography",17000,34582,0,0,29000
"236",42776259,85,1.12e+08,4.9,"Comedy",11,1173,1,0,480
"237",98780042,119,1.2e+08,5.8,"Thriller",1000,13391,0,14000,11000
"238",106369117,102,1.1e+08,6.2,"Action",263,10583,0,71000,6000
"239",142614158,103,1.1e+08,5.5,"Fantasy",67,692,3,31000,383
"240",50026353,76,1.1e+08,5.4,"Western",6,13607,0,304,12000
"241",66002193,120,1.1e+08,5.8,"Sci-Fi",124,12452,3,12000,6000
"242",85463309,127,1.1e+08,7.1,"Sci-Fi",189,22254,1,36000,20000
"243",71017784,105,1.05e+08,5.4,"Fantasy",67,914,3,0,681
"244",61656849,114,1.1e+08,6.7,"Sci-Fi",151,12908,4,123000,11000
"245",134520804,129,1.1e+08,7.2,"Drama",235,13961,1,0,13000
"246",313837577,171,9.3e+07,8.8,"Action",0,22342,2,21000,16000
"247",24004159,120,1.1e+08,5.8,"Action",153,3175,0,0,1000
"248",58183966,165,1.07e+08,6.8,"Sport",0,14196,1,0,10000
"249",100446895,82,1.09e+08,3.8,"Family",34,2762,1,946,760
"250",144795350,115,1.2e+08,7.1,"Mystery",295,12068,1,0,10000
"251",47396698,194,1.3e+08,7.2,"Adventure",0,19600,1,0,14000
"252",104374107,97,1.05e+08,7.1,"Animation",63,2480,0,5000,852
"253",228430993,151,1.08e+08,8.1,"Drama",0,14831,1,153000,13000
"254",35799026,136,1.26e+08,6.9,"Romance",0,34839,1,0,19000
"255",6712451,104,9e+07,4.4,"Comedy",23,3133,0,53,752
"256",101643008,127,9e+07,6.5,"Crime",57,29069,1,0,12000
"257",187670866,171,1.03e+08,8.5,"Action",0,6521,0,21000,3000
"258",132014112,145,1.02e+08,7.7,"Action",14000,12546,0,0,10000
"259",261970615,174,1e+08,7.4,"Family",0,35672,1,0,11000
"260",167007184,144,1.5e+08,8,"Adventure",258,9125,1,0,6000
"261",180011740,119,1e+08,5.7,"Action",13000,2776,0,0,1000
"262",97030725,140,1e+08,7,"Htory",0,64599,1,0,40000
"263",130127620,176,1e+08,7.8,"Biography",0,20354,0,0,18000
"264",65452312,106,1e+08,6.4,"Crime",12000,19906,1,0,18000
"265",148383780,98,1e+08,5.5,"Romance",80,24082,10,0,22000
"266",119219978,116,1e+08,6.7,"Comedy",285,20233,2,16000,12000
"267",162804648,165,1e+08,8.5,"Western",16000,40978,1,199000,29000
"268",89296573,78,1e+08,7.3,"Family",10,2039,1,0,558
"269",85017401,103,9.2e+07,6.7,"Adventure",165,57881,3,108000,26000
"270",173005002,131,1e+08,6.9,"Family",226,13679,0,0,12000
"271",75030163,104,1e+08,5.1,"Adventure",14,4487,0,0,3000
"272",77222184,101,1e+08,6.8,"Family",0,1738,0,11000,925
"273",107515297,102,1e+08,6.7,"Adventure",77,14552,2,17000,14000
"274",67631157,103,1e+08,6,"Romance",207,55175,0,25000,40000
"275",57366262,143,1e+08,8,"Thriller",380,33160,0,14000,29000
"276",116866727,240,1e+08,8.2,"Crime",17000,46057,3,138000,29000
"277",27098580,172,1.02e+08,7.5,"Drama",670,22686,5,124000,15000
"278",55673333,101,8e+07,7,"Adventure",0,4286,1,16000,2000
"279",40198710,87,1e+08,3.3,"Fantasy",26,3144,0,0,827
"280",72660029,101,1e+08,6,"Adventure",420,16235,0,21000,12000
"281",38120554,95,1.4e+08,7.1,"Adventure",63,26940,0,0,23000
"282",49392095,102,1e+08,5.4,"Comedy",52,10552,1,0,8000
"283",39292022,131,9e+07,6.1,"Adventure",385,52610,15,56000,26000
"284",28772222,114,1.05e+08,5.3,"Crime",19,3962,1,37000,1000
"285",17010646,94,8.4e+07,2.2,"Drama",6,1195,0,881,490
"286",24985612,122,1e+08,7,"Drama",2000,28328,0,27000,26000
"287",4411102,95,1e+08,3.8,"Action",31,6161,1,416,3000
"288",35024475,115,1e+08,6.9,"Thriller",521,13761,1,0,13000
"289",130174897,88,9.9e+07,7.2,"Comedy",20,309,0,33000,144
"290",202007640,130,9.8e+07,6.3,"Thriller",208,15972,5,0,12000
"291",77679638,216,1e+08,7.5,"Drama",17000,47657,3,0,29000
"292",9213,146,9.4e+07,7.6,"Drama",611,23240,2,13000,23000
"293",58867694,85,1e+08,6.8,"Family",9,25590,0,0,12000
"294",59475623,93,9e+07,5.2,"Thriller",0,13748,1,0,11000
"295",108638745,152,9.2e+07,7.7,"Drama",0,4270,0,10000,2000
"296",86897182,85,9.5e+07,6.2,"Comedy",116,9271,0,18000,8000
"297",95328937,146,1e+08,4.3,"Comedy",127,4555,4,0,962
"298",50802661,89,9.5e+07,6.9,"Animation",10,3372,1,0,2000
"299",161317423,88,9.5e+07,6.6,"Adventure",20,25354,0,14000,22000
"300",201148159,105,9.5e+07,7,"Drama",0,4671,1,56000,2000
"301",43982842,135,6.5e+07,6.7,"Thriller",0,2370,1,16000,873
"302",380838870,100,9.4e+07,8.2,"Animation",475,5641,0,11000,1000
"303",377019252,192,9.4e+07,8.9,"Fantasy",0,6434,2,16000,5000
"304",340478898,172,9.4e+07,8.7,"Fantasy",0,23052,1,10000,16000
"305",17176900,102,9.5e+07,5.5,"Adventure",44,17098,4,16000,12000
"306",131144183,100,1.15e+08,5.7,"Thriller",165,12150,1,0,11000
"307",23014504,119,1e+08,6.3,"Mystery",0,54031,1,37000,40000
"308",181166115,92,9.3e+07,5.9,"Adventure",394,2574,0,0,693
"309",176740650,105,9.3e+07,7.6,"Sci-Fi",81,13118,0,47000,11000
"310",71148699,107,9e+07,6.6,"Fantasy",70,1614,0,0,770
"311",67344392,101,9.2e+07,5.3,"Thriller",212,15481,2,66000,13000
"312",22406362,137,1.07e+08,6,"Drama",102,5780,0,701,2000
"313",261437578,115,9.2e+07,8,"Family",663,1901,0,0,1000
"314",88761720,118,9.5e+07,5.9,"Fantasy",0,14024,0,9000,8000
"315",81557479,98,1e+08,6.8,"Thriller",12000,25780,1,18000,18000
"316",226138454,90,9e+07,6.6,"Action",420,664,2,0,191
"317",155370362,130,1e+08,6.6,"Drama",0,12890,0,0,11000
"318",124870275,90,1e+08,7,"Animation",97,1227,1,0,622
"319",196573705,94,9e+07,7,"Family",107,1258,0,0,835
"320",58229120,114,9e+07,7.3,"Comedy",0,5095,1,70000,3000
"321",125305545,94,9.2e+07,5.5,"Comedy",368,15419,0,0,13000
"322",132373442,151,9e+07,8.5,"Crime",17000,45648,0,29000,29000
"323",110416702,121,9.2e+07,7,"Comedy",0,23484,3,0,21000
"324",102515793,158,9e+07,7.8,"Crime",21000,20388,1,54000,18000
"325",209019489,128,9e+07,7.6,"Crime",0,23996,3,20000,21000
"326",84037039,95,1.2e+08,6.8,"Fantasy",21,15237,0,0,12000
"327",85884815,92,9e+07,5,"Animation",12,38450,0,0,35000
"328",83077470,121,7.5e+07,7.1,"War",0,14165,0,0,10000
"329",100018837,113,9e+07,5.5,"Comedy",221,13446,0,0,11000
"330",78747585,106,8.8e+07,5.6,"Animation",0,35367,0,39000,22000
"331",78616689,146,1e+08,7.1,"Adventure",14000,6217,0,11000,3000
"332",75817994,88,9e+07,4.9,"Fantasy",50,2622,0,988,691
"333",73209340,119,9.5e+07,5.7,"Sci-Fi",719,2356,0,0,833
"334",72515360,128,8e+07,6.4,"Thriller",521,2100,1,0,591
"335",68558662,106,9e+07,5.9,"Family",87,10882,0,28000,8000
"336",65653758,117,9.5e+07,5.5,"Action",101,33154,1,0,18000
"337",64685359,129,9e+07,6.9,"Crime",209,23031,6,15000,11000
"338",26871,114,9.2e+07,7,"Crime",12000,12499,2,0,11000
"339",60874615,114,9e+07,5.6,"Sci-Fi",0,4902,0,0,3000
"340",143618384,96,9e+07,7,"Family",107,12071,0,19000,11000
"341",35168677,138,1e+08,6.7,"Thriller",0,15149,1,0,14000
"342",61644321,144,8.8e+07,8,"Drama",2000,2523,0,0,680
"343",190562,110,9e+07,4.4,"Adventure",96,2728,0,788,887
"344",120147445,140,8.7e+07,7.3,"Drama",378,13808,0,0,12000
"345",233630478,143,9e+07,7.7,"Romance",0,15838,1,23000,15000
"346",197992827,108,1e+08,6.5,"Animation",750,70996,0,0,49000
"347",176049130,108,7.5e+07,7.8,"Action",521,14161,1,0,13000
"348",183405771,116,8.5e+07,7.8,"Thriller",0,13028,4,0,11000
"349",20315324,110,7.5e+07,5.8,"Romance",545,27694,8,19000,14000
"350",148313048,91,8.5e+07,7.1,"Fantasy",266,37142,2,28000,12000
"351",127706877,107,8.5e+07,7.1,"Comedy",36,662,2,0,283
"352",126149655,115,8.5e+07,6.8,"Thriller",79,36237,1,19000,18000
"353",66941559,100,8.5e+07,4.8,"Drama",36,4182,1,372,2000
"354",78009155,104,7.5e+07,6.2,"Romance",420,3768,5,0,2000
"355",63224849,138,8.5e+07,6.9,"Comedy",278,17423,3,19000,14000
"356",112703470,120,8.5e+07,6.6,"Romance",278,15226,2,0,11000
"357",117144465,122,8.5e+07,6.9,"Thriller",0,43499,3,0,14000
"358",84303558,83,8.5e+07,6.2,"Animation",28,6081,1,863,4000
"359",150832203,139,8.5e+07,6.7,"Adventure",168,22226,2,49000,14000
"360",51396781,131,6.8e+07,7.6,"Drama",218,5103,1,0,5000
"361",47592825,104,8.5e+07,6.7,"Horror",532,16930,1,0,12000
"362",57010853,145,8.5e+07,7.3,"Drama",252,2380,1,0,879
"363",62494975,104,8.5e+07,6,"Crime",681,1235,5,0,584
"364",46440491,97,1e+08,7.1,"Adventure",6,2707,1,0,1000
"365",40048332,108,8.5e+07,5.5,"Thriller",99,1460,1,941,672
"366",64933670,106,8.5e+07,5.6,"Action",763,11454,1,18000,8000
"367",31494270,112,6e+07,7.5,"Romance",1000,12687,0,36000,10000
"368",31111260,135,6e+07,5.4,"Adventure",36,1439,0,0,894
